anio,diaSemana,codificacion_linea,codificacion_estacion,codificacion_mes,afluencia
2015,6,4,73,1,8999
2022,3,2,31,9,17958
2019,6,1,9,8,80112
2020,7,7,112,1,13020
2016,4,7,104,11,43460
2023,7,1,12,12,10174
2024,4,5,89,4,35723
2015,5,12,180,2,27704
2020,1,1,4,8,20318
2023,1,2,40,3,18428
2011,5,5,61,2,15875
2013,6,1,18,1,10515
2012,7,3,53,10,26519
2017,1,8,116,5,9206
2011,3,3,59,12,66978
2019,3,9,58,6,15969
2019,6,7,107,11,7930
2023,1,11,20,7,23486
2021,1,11,168,12,24288
2015,6,3,63,10,38342
2022,1,9,74,9,10579
2023,3,11,167,12,20475
2018,6,12,192,3,7282
2011,2,12,184,10,0
2011,5,9,32,11,15306
2023,6,10,148,7,11589
2020,6,7,110,9,12009
2016,4,8,121,3,21812
2015,6,12,189,3,0
2022,1,8,118,3,11137
2012,3,11,172,3,11643
2022,4,2,30,8,17288
2015,2,10,151,3,40279
2015,4,7,108,3,17068
2014,3,3,64,9,22497
2013,7,3,60,3,11469
2021,4,2,45,8,23804
2010,6,1,8,12,42469
2024,2,2,33,2,16287
2020,6,5,86,7,7663
2014,1,2,23,8,31994
2012,7,12,110,4,0
2021,6,1,6,9,11974
2018,1,6,85,10,3802
2022,1,4,70,4,1388
2010,1,3,49,3,41065
2018,7,8,121,11,17934
2013,6,2,42,9,29089
2014,6,1,6,4,13801
2011,4,5,86,2,16358
2015,6,6,98,7,7735
2022,2,12,182,6,0
2011,4,10,11,8,78365
2021,4,1,11,2,18803
2020,6,7,109,12,7506
2023,2,12,30,7,6596
2010,7,9,136,10,6137
2016,7,10,151,12,24721
2011,2,6,98,6,7835
2021,2,2,39,9,0
2012,2,11,54,6,5917
2017,3,1,11,1,47929
2019,4,6,75,7,31813
2017,3,11,166,5,24523
2010,6,2,4,2,8864
2012,3,11,170,3,35298
2018,6,10,153,11,14520
2011,6,2,26,12,39512
2022,4,6,99,2,4022
2018,4,4,70,5,3126
2015,3,6,100,7,8659
2020,4,7,107,4,5101
2011,6,3,56,12,18164
2024,4,1,9,3,0
2014,4,2,23,10,37095
2019,1,2,23,3,28077
2015,5,9,8,8,57345
2015,4,10,151,7,0
2018,5,1,6,11,22376
2020,3,11,169,1,27524
2018,5,1,13,11,37153
2020,4,1,7,5,5525
2016,7,3,58,5,8042
2011,5,1,15,7,22788
2010,5,4,74,3,8254
2019,5,1,3,10,27122
2018,1,6,85,12,1640
2012,6,12,194,3,0
2022,6,2,44,3,51981
2010,6,10,11,1,66809
2010,7,8,129,10,12544
2022,1,12,184,9,0
2021,6,4,69,9,3796
2013,3,8,121,9,32536
2022,1,8,121,10,24698
2016,2,2,42,5,36571
2019,6,8,34,9,21295
2015,4,12,189,2,0
2013,7,3,49,4,20275
2019,5,6,101,1,24003
2022,5,6,75,4,7831
2018,3,7,112,3,39478
2014,3,11,161,8,27004
2014,5,11,173,8,18159
2023,1,10,148,6,12383
2013,5,4,75,6,23208
2018,7,8,124,10,13009
2018,4,6,75,11,39491
2011,1,7,8,6,6908
2012,1,2,22,11,6449
2020,3,11,161,6,9417
2019,4,12,196,1,14653
2024,4,3,65,2,20135
2016,7,9,58,5,8292
2020,5,4,77,2,7268
2013,7,6,101,6,4183
2017,3,11,162,4,18654
2016,3,11,73,12,4411
2023,5,4,77,6,3732
2020,3,3,57,10,15075
2014,7,10,149,1,8930
2019,6,10,153,12,15790
2023,7,8,130,5,10754
2011,3,8,129,11,21277
2016,3,12,183,6,11177
2018,1,12,129,9,16211
2010,3,11,170,2,30684
2020,4,6,98,2,11347
2022,6,8,121,1,15942
2024,6,7,104,5,18988
2015,2,7,110,5,20233
2022,3,10,151,4,39447
2016,4,11,84,5,13458
2011,1,7,8,4,9068
2023,5,8,119,12,8279
2012,2,5,82,1,7608
2018,5,7,108,6,19180
2013,2,1,8,12,28713
2012,6,2,37,5,21128
2019,2,3,52,11,12500
2017,4,10,154,4,8123
2023,4,1,3,3,0
2011,3,3,65,6,32864
2019,3,2,25,2,4777
2019,7,2,25,10,8764
2016,5,1,6,5,24116
2016,7,8,134,10,53112
2015,1,4,70,10,2540
2016,6,8,34,2,30934
2016,5,4,75,1,28489
2021,6,6,85,11,1470
2019,6,3,58,4,21536
2019,7,8,119,10,5629
2018,3,2,38,12,31514
2020,1,4,68,11,5429
2012,1,3,58,9,26226
2012,5,6,99,9,9581
2016,1,8,133,4,26395
2019,3,12,188,12,21964
2016,5,6,93,8,23794
2010,3,6,85,2,4290
2022,6,1,16,2,41335
2012,4,11,84,5,10646
2020,2,5,86,6,6997
2018,3,5,89,7,28055
2024,6,8,127,6,13366
2023,2,10,153,10,28295
2019,2,3,48,4,16393
2022,2,7,113,11,10592
2012,6,8,130,10,23636
2011,5,1,6,10,29420
2023,1,5,76,8,4596
2012,6,7,45,1,8499
2012,5,3,54,12,13864
2015,6,10,151,6,0
2023,6,1,2,11,0
2018,3,6,97,10,8848
2010,2,9,74,12,12432
2014,1,2,42,6,37708
2023,3,12,181,7,0
2023,2,9,58,4,15375
2015,5,7,114,4,25988
2016,5,10,152,2,14711
2023,7,12,179,3,0
2018,6,8,119,2,6683
2012,7,2,34,7,13057
2018,1,1,10,6,46556
2010,4,4,75,11,23302
2012,5,8,129,5,19682
2019,1,2,22,10,13220
2012,6,4,70,2,2369
2019,5,9,140,12,19835
2015,7,12,129,3,18547
2015,5,1,11,10,52528
2014,1,2,37,3,14436
2013,4,6,94,1,13661
2018,5,8,128,3,14307
2024,7,12,49,3,5755
2018,3,7,112,7,39435
2020,7,6,94,5,2639
2010,5,7,102,12,9321
2014,4,6,98,9,7272
2012,2,10,151,10,39862
2023,1,5,83,11,7560
2012,6,10,155,10,30009
2016,7,12,194,5,4624
2015,2,2,43,5,23522
2019,7,2,36,12,126982
2021,3,8,117,10,18890
2021,5,1,7,8,9370
2023,3,2,39,1,23018
2017,6,10,156,1,17159
2014,5,6,93,8,20652
2010,3,6,53,9,1533
2018,1,2,35,8,17079
2021,7,1,7,10,5914
2020,3,1,8,8,18854
2011,6,4,69,10,7557
2024,2,10,150,6,15601
2012,6,2,33,7,22687
2020,4,4,74,5,1141
2021,7,2,28,8,6142
2019,4,7,104,3,42073
2016,5,2,32,7,41508
2019,5,6,101,11,23823
2013,4,2,25,6,19944
2020,4,12,191,10,41059
2018,2,7,45,12,9650
2016,1,10,151,1,31661
2023,5,10,150,4,20071
2012,1,8,130,4,24833
2010,2,12,191,3,0
